full_name,pr_number,issue_number,issue_to_pr_days,pr_to_merge_days,merge_to_release_days
AnyBlok/AnyBlok,25,,,0.012094907407407407,0.00034722222222222224
AnyBlok/AnyBlok,26,,,5.945486111111111,0.007858796296296296
AnyBlok/AnyBlok,28,,,0.0920138888888889,0.9152430555555555
AnyBlok/AnyBlok,29,,,0.7917013888888889,0.007719907407407407
AnyBlok/AnyBlok,31,,,4.110405092592592,0.07898148148148149
AnyBlok/AnyBlok,36,,,0.02423611111111111,
AnyBlok/AnyBlok,40,,,0.01814814814814815,
AnyBlok/AnyBlok,44,,,8.83105324074074,
AnyBlok/AnyBlok,46,,,0.6639351851851852,
AnyBlok/AnyBlok,48,,,4.5235763888888885,
AnyBlok/AnyBlok,50,,,105.185625,
AnyBlok/AnyBlok,57,,,3.2857060185185185,
AnyBlok/AnyBlok,58,,,0.018171296296296297,
AnyBlok/AnyBlok,61,,,0.013136574074074075,
AnyBlok/AnyBlok,62,,,0.20667824074074073,
AnyBlok/AnyBlok,63,,,306.40800925925925,
AnyBlok/AnyBlok,64,,,0.009675925925925926,
AnyBlok/AnyBlok,67,,,239.96119212962964,
AnyBlok/AnyBlok,69,,,39.185381944444444,
AnyBlok/AnyBlok,70,,,38.11409722222222,
AnyBlok/AnyBlok,71,,,29.974131944444444,
AnyBlok/AnyBlok,73,,,15.7615625,
AnyBlok/AnyBlok,76,,,2.1837037037037037,
AnyBlok/AnyBlok,78,,,0.9929513888888889,
AnyBlok/AnyBlok,82,,,4.78556712962963,
AnyBlok/AnyBlok,84,,,1.983263888888889,
AnyBlok/AnyBlok,85,,,42.88280092592593,
AnyBlok/AnyBlok,103,,,73.99648148148148,
AnyBlok/AnyBlok,104,,,3.249050925925926,
AnyBlok/AnyBlok,105,,,0.08722222222222223,
AnyBlok/AnyBlok,106,,,27.031666666666666,
AnyBlok/AnyBlok,109,,,0.2383449074074074,
AnyBlok/AnyBlok,110,,,0.2089351851851852,
AnyBlok/AnyBlok,113,,,0.005729166666666666,
AnyBlok/AnyBlok,114,,,7.211666666666667,
AnyBlok/AnyBlok,123,,,38.23809027777778,
AnyBlok/AnyBlok,125,,,0.10054398148148148,
AnyBlok/AnyBlok,126,,,2.6489930555555556,
AnyBlok/AnyBlok,128,,,18.969988425925926,
AnyBlok/AnyBlok,130,,,5.748773148148148,
AnyBlok/AnyBlok,131,,,3.7639583333333335,
AnyBlok/AnyBlok,133,,,17.083969907407408,
AnyBlok/AnyBlok,138,,,2.0317824074074076,
AnyBlok/AnyBlok,141,,,0.1502199074074074,
AnyBlok/AnyBlok,142,,,0.041712962962962966,
AnyBlok/AnyBlok,145,,,1.7280324074074074,
AnyBlok/AnyBlok,146,,,4.692997685185185,
AnyBlok/AnyBlok,147,,,0.04,
AnyBlok/AnyBlok,148,,,0.2296875,
AnyBlok/AnyBlok,150,,,5.875891203703704,
AnyBlok/AnyBlok,151,,,4.644085648148148,
AnyBlok/AnyBlok,152,,,1.3424421296296296,
AnyBlok/AnyBlok,154,153.0,0.0011921296296296296,858.7227546296297,
AnyBlok/AnyBlok,155,,,1.0988194444444443,
AnyBlok/AnyBlok,156,,,0.2429513888888889,
AnyBlok/AnyBlok,157,,,0.7035532407407408,
AnyBlok/AnyBlok,158,,,48.464189814814816,
AnyBlok/AnyBlok,159,,,0.08288194444444444,
AnyBlok/AnyBlok,160,,,3.1621527777777776,
AnyBlok/AnyBlok,161,,,0.677037037037037,
AnyBlok/AnyBlok,162,,,0.4270138888888889,
AnyBlok/AnyBlok,164,,,5.231076388888889,
AnyBlok/AnyBlok,165,,,0.9193171296296296,
AnyBlok/AnyBlok,166,,,26.82875,
AnyBlok/AnyBlok,167,,,1.6363194444444444,
AnyBlok/AnyBlok,172,,,0.803599537037037,
AnyBlok/AnyBlok,173,,,0.8011226851851851,
AnyBlok/AnyBlok,174,,,8.431469907407408,
AnyBlok/AnyBlok,175,,,9.317175925925927,
AnyBlok/AnyBlok,176,,,699.9971527777777,
AnyBlok/AnyBlok,177,,,0.20109953703703703,
AnyBlok/AnyBlok,178,,,0.2137037037037037,
AnyBlok/AnyBlok,179,,,0.2854861111111111,
AnyBlok/AnyBlok,180,,,0.22469907407407408,
AnyBlok/AnyBlok,181,,,1.0590046296296296,
AnyBlok/AnyBlok,182,,,5.964918981481482,
AnyBlok/AnyBlok,183,,,0.6327199074074074,
AnyBlok/AnyBlok,184,,,1.0942708333333333,
AnyBlok/AnyBlok,185,,,0.46349537037037036,
AnyBlok/AnyBlok,188,,,0.0014814814814814814,
AnyBlok/AnyBlok,190,,,0.06076388888888889,
